Text;Size;Color;Angle;Font;Repeat;URL
Scala;1;Random;Random;Random;Yes;
Machine Learning;1;Random;Random;Random;Yes;
Developer;1;Random;Random;Random;Yes;
Freelance;1;Random;Random;Random;Yes;
Engineer;1;Random;Random;Random;Yes;
Data Science;1;Random;Random;Random;Yes;
Computer Science;1;Random;Random;Random;Yes;
IT;1;Random;Random;Random;Yes;
Artificial Intelligence;1;Random;Random;Random;Yes;
Clustering;1;Random;Random;Random;Yes;
Technology;1;Random;Random;Random;Yes;
Python;1;Random;Random;Random;Yes;
Research;1;Random;Random;Random;Yes;
Programming;1;Random;Random;Random;Yes;
Functional;1;Random;Random;Random;Yes;
OOP;1;Random;Random;Random;Yes;
Blogger;1;Random;Random;Random;Yes;
Student;1;Random;Random;Random;Yes;
Mathematics;1;Random;Random;Random;Yes;
Dataviz;1;Random;Random;Random;Yes;
